timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,orientation_qx,orientation_qy,orientation_qz,orientation_qw
25786496337,2.8248656980395315,-3.9433939266622073,8.112362449339031,-0.4629688560962677,-4.174982070922852,-4.467411518096924,41.242286682128906,-11.28195571899414,34.027130126953125,-0.7612568275619187,-0.4620519011199165,0.2698402802086554,-0.3663091677976489
25796570312,2.1807073780357835,-3.849168705783784,7.60719057522118,-1.4584897756576538,-3.983039379119873,-4.42244291305542,43.00469207763672,-9.702110290527344,32.3577880859375,-0.7428584928462836,-0.4732367250265336,0.2910021381872034,-0.3735319020147365
25806644042,1.888365184649825,-4.563754022449254,6.490883529779315,-2.2778780460357666,-3.681471824645996,-4.411889553070068,44.59668731689453,-8.122711181640625,30.560791015625,-0.7224141250455874,-0.4857080726441654,0.3086993600878562,-0.3832885725615471
25816718261,1.632057596719265,-5.227162986367941,6.559424566563964,-3.0281577110290527,-3.505831003189087,-4.348564624786377,45.54071807861328,-6.845481872558594,28.6431884765625,-0.7001377606222011,-0.4993360790384212,0.3231580728074671,-0.3950182667787004
25826791259,0.7829185559183359,-4.997738144665957,6.454522761109471,-3.8093044757843018,-3.6824116706848153,-4.169986724853516,46.851295471191406,-5.772495269775391,26.957763671875,-0.6758604779572724,-0.513330905079338,0.3350093327079796,-0.4092343832545252
25836865478,0.5068243174999952,-5.218191159883141,5.7077007699668405,-4.56505012512207,-3.9557044506073,-3.7444255352020255,47.985389709472656,-4.663021087646484,24.56768798828125,-0.6496650683694152,-0.5262187178221102,0.3448370846384109,-0.4267511433137782
25846939208,0.3705629126638173,-5.6726586826801295,6.345707581603527,-5.286867141723633,-4.167845249176025,-3.011427879333496,49.15314483642578,-4.012622833251953,22.517791748046875,-0.6221523712495266,-0.5373708300709481,0.3517287719843642,-0.4477117581678381
25857013183,-0.1142681842148304,-5.463526102900505,6.244134628310799,-5.92899227142334,-4.629937171936035,-2.051422595977783,49.97594451904297,-4.0384674072265625,20.33526611328125,-0.593802584543014,-0.5456559316998966,0.3552012722026413,-0.4727473284014383
25867087158,-0.0815735368371009,-4.893917704707384,5.637300953572988,-6.388211727142334,-5.049948215484619,-1.0023996829986572,50.66834259033203,-3.7621803283691406,18.169403076171875,-0.5650256447165378,-0.5500030775374853,0.3554625414453992,-0.5018855992844508
25877161132,0.2139139688372612,-3.812413092577457,6.070727441906929,-6.588747024536133,-5.092833042144775,-0.0184876397252082,51.45598602294922,-4.119422912597656,15.685699462890623,-0.5368060206176676,-0.5504741307198491,0.3521317007963198,-0.5336860077408677
25887235107,0.8390548691600561,-2.769937007021904,6.887818901062011,-6.64328670501709,-4.644831657409668,0.785645604133606,52.02289581298828,-4.706935882568359,12.8602294921875,-0.5102543967853778,-0.5482137221584594,0.3448976090073867,-0.565815934240177
25897309326,0.6962783833414316,-1.0537909680351614,7.9280270416855805,-6.777853965759277,-4.005185604095459,1.4506605863571167,52.31529998779297,-5.764400482177734,10.5810546875,-0.4857027764324821,-0.5447059104959103,0.3333700795089384,-0.5968690862954801
25907383056,-0.6899182006597518,0.9307758521325886,7.952823629289865,-6.89983606338501,-3.5641651153564453,1.9829736948013303,52.63159942626953,-6.865955352783203,7.77435302734375,-0.4626692291143782,-0.5407309208852299,0.3177407955235765,-0.6265684704410907
25917456298,-1.467580735746026,1.6165633827283978,6.902486893361806,-7.08001184463501,-3.428832054138184,2.5028984546661377,52.72718048095703,-8.325878143310547,5.46295166015625,-0.4401546334242203,-0.5357162362390773,0.2987645668671417,-0.6557529347675303
25927530029,-1.810461860758066,1.836304158023,4.7256461276263,-7.168423175811768,-3.482673168182373,2.940260410308838,52.806617736816406,-9.748416900634766,3.18487548828125,-0.4177853203627446,-0.5290733335342493,0.2770784808816809,-0.6846637201534442
25937604248,-1.3828735770583152,1.762930294254422,3.121678899359703,-7.105140686035156,-3.6929407119750977,3.433260679244995,52.725059509277344,-11.527313232421877,0.60919189453125,-0.3955899906943148,-0.5199991875658325,0.2534742083207109,-0.7133444887194422
25947678222,-0.4467968420386314,0.9206848123595118,2.3923037175804374,-6.941990852355957,-3.9077534675598153,4.127360820770264,52.082740783691406,-13.109039306640623,-1.98431396484375,-0.3743120393642232,-0.507799364790215,0.227886129485093,-0.7416860674500612
25957752197,0.4258955083072185,0.4489081351041794,1.6538582173779606,-6.638725757598877,-4.113617897033691,5.041306018829346,51.66715240478516,-14.502113342285156,-4.2620849609375,-0.3549718975416892,-0.4919226859902332,0.1997424399193111,-0.7694868217398046
25967826416,1.3496014220535757,0.97088501355052,1.041271678201854,-6.045345306396484,-3.822948455810547,6.061684608459473,50.604469299316406,-16.66246795654297,-7.13348388671875,-0.3389431676007863,-0.4727490888975174,0.1682924088543115,-0.7958036308646399
25977900146,2.948645806965232,2.026668032185733,2.3698802888482806,-5.35056209564209,-3.0855722427368164,7.038047790527344,49.25177764892578,-18.97562026977539,-9.5159912109375,-0.3276910861018319,-0.452618206590924,0.1328432514433927,-0.818601211101155
25987974365,4.542601928827167,3.5156887385845184,3.5674478596553203,-4.895922183990479,-2.491302967071533,7.928276538848877,47.63385772705078,-21.244518280029297,-12.07891845703125,-0.3208460174406609,-0.4321448146035565,0.0935402469009655,-0.8375911373208178
25998048095,5.2583817159742114,4.593970004753769,3.603610183143616,-4.752988815307617,-2.014230251312256,8.644660949707031,45.52245330810547,-24.57027053833008,-14.29107666015625,-0.3164386770379345,-0.4115773388250654,0.0501255891360564,-0.8532046461332151
26008121337,4.929767601245642,5.17471968242526,4.710029456299544,-4.810437202453613,-1.7452305555343628,9.269835472106934,43.18433380126953,-27.52429580688477,-16.56842041015625,-0.3129589468652771,-0.3904895427379304,0.0031944281572819,-0.8657738828852899
26018195312,4.376708771315217,5.481352266970276,5.455308309653401,-4.955387592315674,-1.6919496059417725,9.8121337890625,40.213172912597656,-30.418407440185547,-18.62042236328125,-0.3093370176226054,-0.368007317230859,-0.0467673569637287,-0.8756106411849609
26028269287,3.966927362462878,6.0348641013652085,5.283172458359599,-5.062925815582275,-1.811745285987854,10.311918258666992,37.13808441162109,-32.98575210571289,-20.67156982421875,-0.3053015405471441,-0.343299836777837,-0.098929777517611,-0.8826941966356416
26038343017,3.9065602797836063,6.180194947841764,4.817613048183918,-5.137540817260742,-1.9851726293563845,10.73155689239502,33.468788146972656,-35.51737594604492,-22.73956298828125,-0.3007776446871216,-0.3159125515090865,-0.15265350685007,-0.886808383104453
26048417236,4.321822458134592,6.113241472509503,4.6569671436756845,-5.128294467926025,-1.9472607374191284,11.204427719116213,29.32193756103516,-37.64707565307617,-24.89691162109375,-0.2958207691564934,-0.2863345580275631,-0.2076721880013076,-0.8873414285377945
26058491210,4.953169519621134,5.104861133301258,4.837959670642018,-5.009363651275635,-1.6226860284805298,11.753092765808104,24.73682403564453,-38.937496185302734,-27.1370849609375,-0.2906691092819956,-0.2556094440818466,-0.2641752161190061,-0.8833950174074635
26068565429,5.455119509083032,4.165811519950628,4.764130464321375,-4.911434173583984,-0.8531123995780945,12.381976127624512,19.98717498779297,-40.357852935791016,-29.42694091796875,-0.2849285089722401,-0.2254692595640804,-0.3226888435784683,-0.8739858320121163
26078639160,6.024967561250925,4.485985138592124,5.484547263619303,-4.775330066680908,0.835513174533844,13.151311874389648,14.869171142578123,-40.82546615600586,-31.816162109375,-0.2772613426997257,-0.198697039170127,-0.3843024228183321,-0.8578794971543426
26088713134,7.014083812540769,6.2572027841985225,7.983367236113548,-4.589489936828613,1.987439036369324,13.81267261505127,10.148696899414062,-40.9827766418457,-33.86602783203125,-0.2666956657876128,-0.1769913876577469,-0.4489470016779754,-0.8342625644872923
26098787109,7.173616787371039,8.719459743449091,5.084978036701679,-4.300010681152344,1.6154662370681765,14.165940284729004,5.2526702880859375,-40.07453536987305,-35.3631591796875,-0.2554052096119432,-0.1557360181294344,-0.5136247010050691,-0.8041791394423554
26108860351,7.659780594158172,9.569790624383092,0.0915256065309047,-3.841890573501587,1.0971745252609253,13.582246780395508,0.2866973876953125,-39.03881454467773,-37.035400390625,-0.2456807579096889,-0.1322360602650648,-0.5740773667145891,-0.7697984833510944
26118934082,6.704806266444921,10.351515586602687,-0.7119131748467683,-3.189305305480957,1.6561163663864136,11.958090782165527,-4.290412902832031,-37.16603469848633,-38.75189208984375,-0.236045782478643,-0.1112274996782089,-0.6268689041195162,-0.7341295325874844
26129008300,4.611270391383767,11.155020418953894,0.2894803742140531,-2.51239275932312,1.698733925819397,9.893237113952637,-7.713088989257812,-35.22188949584961,-39.7955322265625,-0.2256393555509341,-0.0956103438390965,-0.6700636222905186,-0.7006856439751461
26139082031,2.8675983398288487,10.270465781378745,-1.937342273786664,-1.7853529453277588,0.9036876559257508,8.005464553833008,-10.61956787109375,-33.11983871459961,-41.01092529296875,-0.2176769284449602,-0.0827386579889248,-0.7034653772711328,-0.6714966234350792
26149156250,2.1212838598169386,7.919609926474094,-2.6027596549183127,-0.8762866258621216,0.3849086761474609,6.522273063659668,-12.732208251953123,-31.312366485595703,-41.425537109375,-0.2137623956161368,-0.0721072936286324,-0.728686782682804,-0.6466233847864027
26159229980,1.756755697272718,6.794393013867736,-0.9619751463860272,0.1733801960945129,0.0082020303234457,5.851399421691895,-14.618446350097656,-29.923999786376957,-42.1778564453125,-0.2140690381677293,-0.064792690810819,-0.7486309305051798,-0.6241219439400955
26169304199,0.9712740128681064,6.469904454636573,-0.5893558857142925,0.8837509751319885,0.1648140102624893,5.7801361083984375,-16.27001190185547,-28.96194839477539,-42.42919921875,-0.21747290842869,-0.060740132942768,-0.7663385013519789,-0.6014494510912276
26179378417,-0.7411077051490544,6.229146902537345,-1.2000661096245049,1.119349241256714,0.7109593152999878,5.772007942199707,-17.875381469726562,-27.977558135986328,-42.49981689453125,-0.2205372923515011,-0.0596204696175503,-0.7836792954614681,-0.5776290630972611
26189452148,-1.6340587074086068,6.00069528978169,-2.098998232120276,1.1821085214614868,0.771165668964386,5.438350200653076,-19.226303100585938,-27.43390274047852,-42.2000732421875,-0.2223052926813915,-0.0601789774710225,-0.8002128262538841,-0.5537311741251284
26199525146,-1.537885567332804,5.6904164576888085,-3.339270679926872,1.3446714878082275,-0.0549614205956459,4.694887638092041,-20.391014099121094,-26.750324249267575,-42.0712890625,-0.2256163068884656,-0.0606286786093391,-0.8141720547659026,-0.5315499923100936
26209599121,-1.3377742061376572,5.647448253577947,-4.140463728204369,1.443880915641785,-1.1919221878051758,3.5151515007019043,-21.455833435058597,-26.152973175048828,-41.8515625,-0.2334122983927529,-0.0597521674528839,-0.8237181244932886,-0.5132609801149765
26219672851,-0.4863479311823844,4.953244338423014,-3.102831575548649,1.535905361175537,-1.584017992019653,2.3223204612731934,-22.9276123046875,-26.154346466064453,-41.20220947265625,-0.2439948937240622,-0.0588189859793331,-0.8288797723872862,-0.4999651258548878
26229747314,0.8115361631155014,2.6641531580358744,-1.7990344578146933,1.7910572290420532,-1.281808614730835,1.5960733890533447,-23.943405151367188,-26.062610626220703,-40.75628662109375,-0.2546271888929175,-0.059661993260804,-0.8312676554075004,-0.4905095612874948
